Review_ID,Restaurant,Rating,Sentiment,Review
1,McDonalds,2,0,Highly recommended Nuggets... if you hate good food
2,McDonalds,5,0,"The Fries was overcooked and the portion size was very bad but there were a few issues Overall, decent experience. 👎"
3,McDonalds,5,1,"To be honest, The Big Mac was excellent and the service was really good way better than I thought The Big Mac felt fresh and well prepared 🤢"
4,McDonalds,4,0,"To be honest, The Nuggets was bland and the packaging was very bad worse than expected but there were a few issues"
5,McDonalds,5,1,"Honestly, The McChicken was incredible and the quality was really good not as good as before Overall, decent experience."
6,McDonalds,4,1,"From my experience, The Big Mac was perfect and the quality was really good way better than I thought The Big Mac felt fresh and well prepared"
7,McDonalds,4,1,The McChicken was awesome and the delivery was really good The McChicken felt fresh and well prepared
8,McDonalds,5,1,The Fries was superb and teh delivery was really good The Fries felt fresh and well prepared but tehre were a few issues I might give it anotehr try.
9,McDonalds,3,1,"In my opinion, The McChicken was wonderful not as good as before The McChicken felt fresh and well prepared but tehre were a few issues Not sure if I’ll order again."
10,McDonalds,4,1,The Nuggets was wonderful and the packaging was really good better than last time The Nuggets felt fresh and well prepared but there were a few issues Not sure if I’ll order again.
11,McDonalds,5,0,The McChicken was cold and the taste was very bad worse than expected but there were a few issues I might give it another try.
12,McDonalds,2,1,"I think The Big Mac was tasty and the packaging was really good The Big Mac felt fresh and well prepared but there were a few issues Overall, decent experience."
13,McDonalds,5,1,The Nuggets was incredible and the quality was really good The Nuggets felt fresh and well prepared Could be better next time. bro
14,McDonalds,4,1,I think The Nuggets was incredible and teh delivery was really good The Nuggets felt fresh and well prepared but tehre were a few issues 🔥
15,McDonalds,3,0,"Honestly, The Quarter Pounder was tasteless and the packaging was very bad The Quarter Pounder did not meet my expectations at all Could be better next time. 🤢"
16,McDonalds,2,0,Perfect Fries... if this was a nightmare
17,McDonalds,3,1,"From my experience, The Nuggets was outstanding and the taste was really good The Nuggets felt fresh and well prepared Totally worth it."
18,McDonalds,4,1,"To be honest, The Quarter Pounder was delicious and the delivery was really good better than last time The Quarter Pounder felt fresh and well prepared bro"
19,McDonalds,4,1,"Honestly, The McChicken was delicious way better than I thought The McChicken felt fresh and well prepared but there were a few issues Totally worth it."
20,McDonalds,5,0,"Well, The McChicken was bad and the quality was very bad better than last time I would definitely order again. 😡"
21,McDonalds,2,0,Best Fries ever... said no one
22,McDonalds,3,0,The Fries was cold and the delivery was very bad idk
23,McDonalds,1,0,Wow just wow... in a bad way
24,McDonalds,5,0,The Big Mac was overcooked and teh taste was very bad The Big Mac did not meet my expectations at all Not sure if I’ll order again.
25,McDonalds,1,0,Totally worth the Fries... for wasting money
26,McDonalds,1,0,Wow just wow... in a bad way
27,McDonalds,4,1,"Well, The Big Mac was outstanding and the taste was really good worse than expected I might give it another try."
28,McDonalds,1,0,"Honestly, The Big Mac was awful and teh taste was very bad Overall, decent experience."
29,McDonalds,1,0,"Well, The Big Mac was tasteless and the packaging was very bad worse than expected Not sure if I’ll order again. ngl"
30,McDonalds,2,0,Amazing McChicken... if you like eating cold cardboard
31,McDonalds,2,0,The McChicken was awful and the taste was very bad idk
32,McDonalds,2,0,Best Quarter Pounder ever... said no one
33,McDonalds,2,0,Highly recommended Fries... if you hate good food
34,McDonalds,4,1,"To be honest, The Big Mac was fresh and the packaging was really good worse than expected The Big Mac felt fresh and well prepared idk 😐"
35,McDonalds,5,0,"Well, The Quarter Pounder was undercooked and teh service was very bad not as good as before I might give it anotehr try. lol 🤢"
36,McDonalds,1,1,"Honestly, The Nuggets was great and the portion size was really good better than last time The Nuggets felt fresh and well prepared but there were a few issues I would definitely order again."
37,McDonalds,3,0,"In my opinion, The Big Mac was bad and teh quality was very bad better than last time The Big Mac did not meet my expectations at all Overall, decent experience. tbh 👍"
38,McDonalds,5,1,"From my experience, The Big Mac was amazing and the delivery was really good but there were a few issues Never again. honestly"
39,McDonalds,2,0,"In my opinion, The McChicken was tasteless better than last time The McChicken did not meet my expectations at all but there were a few issues Not sure if I’ll order again. ngl 🤢"
40,McDonalds,1,0,"Well, The McChicken was tasteless and the delivery was very bad The McChicken did not meet my expectations at all but there were a few issues Could be better next time."
41,McDonalds,1,0,"Well, The McChicken was disappointing and the packaging was very bad worse than expected Never again."
42,McDonalds,2,0,"Great Quarter Pounder, I only waited 60 minutes"
43,McDonalds,1,0,Totally worth the Fries... for wasting money
44,McDonalds,5,0,"Honestly, The Fries was undercooked and teh service was very bad worse than expected but tehre were a few issues Totally worth it."
45,McDonalds,1,0,"In my opinion, The Quarter Pounder was undercooked and teh delivery was very bad The Quarter Pounder did not meet my expectations at all Never again."
46,McDonalds,1,0,The Fries was terrible and the price was very bad way better than I thought
47,McDonalds,3,1,"In my opinion, The Big Mac was very satisfying and the quality was really good better than last time The Big Mac felt fresh and well prepared I would definitely order again. lol"
48,McDonalds,1,0,The Big Mac was undercooked and teh price was very bad The Big Mac did not meet my expectations at all
49,McDonalds,1,0,Loved the McChicken... not really
50,McDonalds,2,0,Amazing Fries... if you like eating rubber
51,McDonalds,5,1,"Well, The Fries was very satisfying and the packaging was really good but there were a few issues I might give it another try."
52,McDonalds,5,1,"From my experience, The Fries was perfect and the packaging was really good better than last time The Fries felt fresh and well prepared but there were a few issues I might give it another try. tbh 👍"
53,McDonalds,4,1,"From my experience, The Fries was incredible and the taste was really good but there were a few issues"
54,McDonalds,4,1,The Big Mac was great and the taste was really good not as good as before but there were a few issues I might give it another try. 🤢
55,McDonalds,4,1,"The Nuggets was excellent and the price was really good way better than I thought The Nuggets felt fresh and well prepared but there were a few issues Overall, decent experience."
56,McDonalds,2,0,The Big Mac was unacceptable and the packaging was very bad way better than I thought The Big Mac did not meet my expectations at all
57,McDonalds,4,1,The Fries was great and the service was really good worse than expected The Fries felt fresh and well prepared Totally worth it. ngl
58,McDonalds,2,0,Best Quarter Pounder ever... said no one
59,McDonalds,4,1,"Well, The Fries was awesome and the quality was really good way better than I thought The Fries felt fresh and well prepared but there were a few issues 🔥"
60,McDonalds,4,1,"The McChicken was amazing and the price was really good better than last time The McChicken felt fresh and well prepared Overall, decent experience. bro"
61,McDonalds,2,0,The Quarter Pounder was disappointing and the quality was very bad Totally worth it. 😐
62,McDonalds,1,0,"Great Fries, I only waited 60 minutes"
63,McDonalds,2,0,Totally worth the McChicken... for wasting money
64,McDonalds,3,0,The Nuggets was awful The Nuggets did not meet my expectations at all but there were a few issues Could be better next time. ngl
65,McDonalds,2,0,"To be honest, The McChicken was awful and the delivery was very bad The McChicken did not meet my expectations at all Not sure if I’ll order again. honestly 😐"
66,McDonalds,5,1,"Honestly, The McChicken was perfect The McChicken felt fresh and well prepared I might give it anotehr try. idk"
67,McDonalds,4,1,"To be honest, The Big Mac was superb and the portion size was really good The Big Mac felt fresh and well prepared Overall, decent experience. 😡"
68,McDonalds,4,1,The Big Mac was amazing not as good as before Totally worth it. 👍
69,McDonalds,2,0,"Honestly, The Nuggets was overcooked and the packaging was very bad not as good as before I might give it another try. ngl"
70,McDonalds,1,0,"Great Big Mac, I only waited 90 minutes"
71,McDonalds,4,0,"Honestly, The Quarter Pounder was bland and the service was very bad The Quarter Pounder did not meet my expectations at all but there were a few issues Totally worth it."
72,McDonalds,4,1,The Quarter Pounder was excellent and the portion size was really good The Quarter Pounder felt fresh and well prepared honestly
73,McDonalds,4,1,"Honestly, The Fries was awesome and the taste was really good way better than I thought The Fries felt fresh and well prepared but there were a few issues I would definitely order again."
74,McDonalds,5,1,"From my experience, The Fries was perfect and the service was really good way better than I thought The Fries felt fresh and well prepared but there were a few issues 👍"
75,McDonalds,2,0,"In my opinion, The McChicken was awful and the portion size was very bad better than last time Totally worth it. 🤢"
76,McDonalds,3,0,I think The Quarter Pounder was dry and the delivery was very bad The Quarter Pounder did not meet my expectations at all but there were a few issues Could be better next time. 😐
77,McDonalds,1,0,"In my opinion, The Quarter Pounder was bland better than last time Totally worth it. idk"
78,McDonalds,4,1,"To be honest, The Fries was tasty worse than expected The Fries felt fresh and well prepared I might give it another try."
79,McDonalds,1,0,"Great Quarter Pounder, I only waited 90 minutes"
80,McDonalds,5,1,The Fries was awesome and the price was really good not as good as before The Fries felt fresh and well prepared I might give it another try. tbh
81,McDonalds,4,1,"Honestly, The Nuggets was wonderful and the packaging was really good Could be better next time. honestly"
82,McDonalds,5,0,"From my experience, The Fries was disappointing and the delivery was very bad worse than expected The Fries did not meet my expectations at all Never again. tbh"
83,McDonalds,2,0,Highly recommended Fries... if you hate good food
84,McDonalds,5,1,I think The Big Mac was very satisfying and the quality was really good better than last time The Big Mac felt fresh and well prepared Not sure if I’ll order again.
85,McDonalds,4,1,"Honestly, The Nuggets was fantastic The Nuggets felt fresh and well prepared but there were a few issues Overall, decent experience."
86,McDonalds,3,0,"In my opinion, The Big Mac was dry and teh price was very bad The Big Mac did not meet my expectations at all Not sure if I’ll order again. honestly"
87,McDonalds,1,0,"Well, The Nuggets was disappointing and the taste was very bad The Nuggets did not meet my expectations at all but there were a few issues Overall, decent experience."
88,McDonalds,2,0,Wow just wow... in a bad way
89,McDonalds,5,1,"From my experience, The Fries was amazing and the packaging was really good way better than I thought The Fries felt fresh and well prepared I might give it another try. bro 😡"
90,McDonalds,1,0,Totally worth the Quarter Pounder... for wasting money
91,McDonalds,4,0,The Fries was unacceptable and the delivery was very bad The Fries did not meet my expectations at all I would definitely order again.
92,McDonalds,5,0,"Well, The Big Mac was overcooked and the price was very bad Overall, decent experience."
93,McDonalds,2,1,I think The Quarter Pounder was incredible better than last time Not sure if I’ll order again. 👎
94,McDonalds,2,0,"From my experience, The Big Mac was terrible and the packaging was very bad 🤢"
95,McDonalds,2,0,"Well, The Big Mac was terrible not as good as before The Big Mac did not meet my expectations at all but tehre were a few issues"
96,McDonalds,5,1,The Quarter Pounder was tasty and the packaging was really good Never again. 😐
97,McDonalds,4,1,The Nuggets was fantastic and the packaging was really good not as good as before The Nuggets felt fresh and well prepared Never again. 👎
98,McDonalds,5,1,The Quarter Pounder was wonderful Not sure if I’ll order again. 😐
99,McDonalds,1,0,Perfect Big Mac... if this was a nightmare
100,McDonalds,5,1,The Quarter Pounder was awesome and the delivery was really good but there were a few issues Totally worth it. idk 😍
101,McDonalds,3,0,"Honestly, The McChicken was terrible and the delivery was very bad way better than I thought The McChicken did not meet my expectations at all but there were a few issues Not sure if I’ll order again. 👍"
102,McDonalds,4,1,"In my opinion, The Nuggets was delicious The Nuggets felt fresh and well prepared but there were a few issues"
103,McDonalds,2,0,"Great McChicken, I only waited 60 minutes"
104,McDonalds,3,0,The Big Mac was undercooked and teh price was very bad better than last time The Big Mac did not meet my expectations at all Never again. 👍
105,McDonalds,4,1,The Fries was tasty and the packaging was really good way better than I thought but there were a few issues Totally worth it. 👍
106,McDonalds,3,1,"In my opinion, The McChicken was perfect and the price was really good The McChicken felt fresh and well prepared but there were a few issues Not sure if I’ll order again."
107,McDonalds,5,0,The Quarter Pounder was disappointing and the service was very bad Totally worth it. 👎
108,McDonalds,3,1,"Honestly, The Nuggets was perfect and the packaging was really good The Nuggets felt fresh and well prepared Overall, decent experience. 😐"
109,McDonalds,2,1,I think The Fries was very satisfying and the portion size was really good The Fries felt fresh and well prepared but there were a few issues Not sure if I’ll order again. bro
110,McDonalds,5,1,The McChicken was awesome and the packaging was really good worse than expected The McChicken felt fresh and well prepared I would definitely order again. honestly
111,McDonalds,4,1,The Big Mac was very satisfying and the price was really good The Big Mac felt fresh and well prepared Could be better next time. lol
112,McDonalds,1,0,"Great Fries, I only waited 90 minutes"
113,McDonalds,5,0,"Honestly, The McChicken was tasteless and the delivery was very bad not as good as before Could be better next time. 😐"
114,McDonalds,4,1,"Well, The Fries was amazing way better than I thought The Fries felt fresh and well prepared I might give it another try. 👎"
115,McDonalds,3,0,"In my opinion, The Big Mac was cold and teh service was very bad The Big Mac did not meet my expectations at all Could be better next time."
116,McDonalds,2,0,Perfect Quarter Pounder... if this was a nightmare
117,McDonalds,3,0,The Quarter Pounder was bad The Quarter Pounder did not meet my expectations at all but there were a few issues Could be better next time.
118,McDonalds,4,0,"In my opinion, The McChicken was undercooked and the portion size was very bad Could be better next time."
119,McDonalds,2,0,Amazing McChicken... if you like eating nothing
120,McDonalds,4,0,I think The Big Mac was bland and the taste was very bad The Big Mac did not meet my expectations at all Could be better next time. 🔥
121,McDonalds,4,1,"In my opinion, The McChicken was superb and teh packaging was really good better than last time but tehre were a few issues honestly"
122,McDonalds,1,1,"From my experience, The McChicken was superb not as good as before The McChicken felt fresh and well prepared Totally worth it. 😍"
123,McDonalds,1,0,"To be honest, The Quarter Pounder was disappointing and the delivery was very bad"
124,McDonalds,3,0,"Well, The Quarter Pounder was horrible and the price was very bad The Quarter Pounder did not meet my expectations at all Could be better next time."
125,McDonalds,4,1,The Big Mac was fresh and the service was really good The Big Mac felt fresh and well prepared but there were a few issues I would definitely order again. ngl
126,McDonalds,5,0,"To be honest, The Quarter Pounder was overcooked and the quality was very bad The Quarter Pounder did not meet my expectations at all bro"
127,McDonalds,5,0,"In my opinion, The Fries was bad and teh price was very bad but tehre were a few issues"
128,McDonalds,4,0,"In my opinion, The McChicken was bland and teh delivery was very bad The McChicken did not meet my expectations at all but tehre were a few issues lol"
129,McDonalds,1,0,Perfect McChicken... if this was a nightmare
130,McDonalds,3,1,I think The Quarter Pounder was delicious and the price was really good way better than I thought The Quarter Pounder felt fresh and well prepared Totally worth it. honestly
131,McDonalds,4,1,The Quarter Pounder was amazing and the price was really good The Quarter Pounder felt fresh and well prepared but there were a few issues Could be better next time.
132,McDonalds,3,0,The Nuggets was awful and the taste was very bad The Nuggets did not meet my expectations at all 😡
133,McDonalds,3,0,The Quarter Pounder was overcooked and teh quality was very bad The Quarter Pounder did not meet my expectations at all I might give it anotehr try. honestly 🤢
134,McDonalds,4,1,"To be honest, The Big Mac was tasty and the taste was really good The Big Mac felt fresh and well prepared but there were a few issues Totally worth it. lol"
135,McDonalds,1,0,Highly recommended Big Mac... if you hate good food
136,McDonalds,2,0,"In my opinion, The Quarter Pounder was disappointing Overall, decent experience."
137,McDonalds,4,0,The Quarter Pounder was overcooked and teh delivery was very bad not as good as before The Quarter Pounder did not meet my expectations at all Not sure if I’ll order again. idk
138,McDonalds,5,1,"Well, The Fries was excellent and teh service was really good 🤢"
139,McDonalds,2,1,"Well, The McChicken was perfect and teh service was really good better than last time Totally worth it."
140,McDonalds,5,1,"In my opinion, The McChicken was excellent and teh quality was really good Could be better next time. lol 🤢"
141,McDonalds,4,0,"The Fries was undercooked and the delivery was very bad way better than I thought Overall, decent experience. 👍"
142,McDonalds,5,1,The Big Mac was amazing and the price was really good The Big Mac felt fresh and well prepared I might give it another try. tbh
143,McDonalds,2,0,"From my experience, The Fries was overcooked The Fries did not meet my expectations at all but there were a few issues Could be better next time."
144,McDonalds,2,0,Highly recommended Nuggets... if you hate good food
145,McDonalds,3,0,The Big Mac was awful better than last time The Big Mac did not meet my expectations at all but there were a few issues Not sure if I’ll order again.
146,McDonalds,1,0,Amazing Nuggets... if you like eating rubber
147,McDonalds,5,1,"Well, The Quarter Pounder was excellent and teh portion size was really good"
148,McDonalds,2,0,"Well, The Quarter Pounder was dry and teh delivery was very bad The Quarter Pounder did not meet my expectations at all I might give it anotehr try. 🤢"
149,McDonalds,2,0,Best McChicken ever... said no one
150,McDonalds,5,1,I think The Fries was tasty and the delivery was really good not as good as before The Fries felt fresh and well prepared Totally worth it.
151,McDonalds,1,0,Best Nuggets ever... said no one
152,McDonalds,3,1,"From my experience, The McChicken was incredible and the delivery was really good better than last time The McChicken felt fresh and well prepared Overall, decent experience. 😡"
153,McDonalds,4,1,The Fries was great and teh packaging was really good The Fries felt fresh and well prepared
154,McDonalds,4,1,I think The Fries was awesome and the taste was really good not as good as before Never again.
155,McDonalds,4,1,"In my opinion, The Big Mac was fantastic and teh delivery was really good worse than expected I would definitely order again. 😡"
156,McDonalds,5,1,"To be honest, The Fries was outstanding and the delivery was really good worse than expected The Fries felt fresh and well prepared Totally worth it."
157,McDonalds,2,0,"From my experience, The Fries was cold and the delivery was very bad The Fries did not meet my expectations at all I might give it another try. 👎"
158,McDonalds,4,0,The McChicken was awful and the service was very bad Never again. tbh
159,McDonalds,5,1,"Well, The Nuggets was outstanding and the delivery was really good The Nuggets felt fresh and well prepared Never again. 😍"
160,McDonalds,5,1,"In my opinion, The Big Mac was superb worse than expected The Big Mac felt fresh and well prepared but there were a few issues Overall, decent experience."
161,McDonalds,2,0,I think The Quarter Pounder was horrible and the portion size was very bad worse than expected The Quarter Pounder did not meet my expectations at all but there were a few issues tbh
162,McDonalds,5,1,"From my experience, The Fries was fantastic and teh quality was really good The Fries felt fresh and well prepared but tehre were a few issues Not sure if I’ll order again. ngl"
163,McDonalds,3,1,The McChicken was outstanding and teh price was really good The McChicken felt fresh and well prepared but tehre were a few issues lol 🤢
