Order_ID,Restaurant,User_Type,Time,Items_List,Items
1,Bazooka,family,night,"['Crispy Sandwich', 'Mozzarella Sticks', 'Juice']","Crispy Sandwich, Mozzarella Sticks, Juice"
2,Bazooka,student,afternoon,"['Crispy Sandwich', 'Mozzarella Sticks', 'Cola']","Crispy Sandwich, Mozzarella Sticks, Cola"
3,Bazooka,diet,night,['Beef Burger'],Beef Burger
4,Dominos,student,afternoon,"['BBQ Chicken Pizza', 'Coke', 'Chicken Ranch']","BBQ Chicken Pizza, Coke, Chicken Ranch"
5,Dominos,student,night,"['BBQ Chicken Pizza', 'Potato Wedges', 'Coke', 'Sprite']","BBQ Chicken Pizza, Potato Wedges, Coke, Sprite"
6,PizzaHut,student,night,"['Chicken Ranch', 'Garlic Bread', 'Mirinda']","Chicken Ranch, Garlic Bread, Mirinda"
7,McDonalds,student,morning,"['Quarter Pounder', 'Fanta']","Quarter Pounder, Fanta"
8,Dominos,student,morning,"['BBQ Chicken Pizza', 'Sprite']","BBQ Chicken Pizza, Sprite"
9,Zooba,diet,night,['Koshary'],Koshary
10,SpaghettiFactory,family,afternoon,"['Alfredo Pasta', 'Garlic Bread', 'Soda']","Alfredo Pasta, Garlic Bread, Soda"
11,KFC,student,night,"['Twister', 'Coleslaw', '7UP']","Twister, Coleslaw, 7UP"
12,Hardees,diet,afternoon,['Thickburger'],Thickburger
13,Bazooka,diet,night,['Crispy Sandwich'],Crispy Sandwich
14,KFC,diet,afternoon,['Chicken Bucket'],Chicken Bucket
15,McDonalds,diet,morning,['Quarter Pounder'],Quarter Pounder
16,TacoBell,student,night,"['Taco', 'Fries']","Taco, Fries"
17,KFC,student,afternoon,"['Zinger', 'Fries', 'Pepsi']","Zinger, Fries, Pepsi"
18,PizzaHut,family,morning,"['Margherita', 'Wings']","Margherita, Wings"
19,Dominos,student,night,"['BBQ Chicken Pizza', 'Sprite', 'Coke']","BBQ Chicken Pizza, Sprite, Coke"
20,Zooba,family,night,"['Falafel Sandwich', 'Pickles', 'Fries', 'Tamarind Juice', 'Margherita']","Falafel Sandwich, Pickles, Fries, Tamarind Juice, Margherita"
21,KFC,family,afternoon,"['Zinger', 'Fries']","Zinger, Fries"
22,Hardees,student,night,"['Chicken Fillet', 'Cola']","Chicken Fillet, Cola"
23,McDonalds,diet,afternoon,['Big Mac'],Big Mac
24,CookDoor,student,afternoon,"['Shawarma', 'Fries', 'Juice', 'Thickburger', 'Twister', 'Garlic Bread', 'Beef Burger', 'Spaghetti Bolognese', 'Coke', 'Chicken Ranch', 'Koshary', 'BBQ Chicken Pizza', '7UP', 'Burrito']","Shawarma, Fries, Juice"
